1,3.5674
0.99208,3.5902
0.98416,3.5948
0.97623,3.5994
0.96831,3.6041
0.96039,3.6089
0.95247,3.6135
0.94454,3.6181
0.93662,3.6227
0.9287,3.6277
0.92078,3.6323
0.91285,3.637
0.90493,3.6418
0.89701,3.6468
0.88909,3.6518
0.88116,3.6567
0.87324,3.6617
0.86532,3.6667
0.8574,3.6719
0.84947,3.6766
0.84155,3.6814
0.83363,3.686
0.82571,3.6907
0.81779,3.6952
0.80986,3.6995
0.80194,3.7037
0.79402,3.7082
0.7861,3.7123
0.77817,3.7163
0.77025,3.7206
0.76233,3.7248
0.75441,3.7289
0.74648,3.7328
0.73856,3.7368
0.73064,3.7408
0.72272,3.7446
0.71479,3.7486
0.70687,3.7525
0.69895,3.7564
0.69103,3.7604
0.68311,3.7642
0.67518,3.7687
0.66726,3.7726
0.65934,3.777
0.65142,3.7813
0.64349,3.7862
0.63557,3.791
0.62765,3.7959
0.61973,3.8015
0.6118,3.8072
0.60388,3.8133
0.59596,3.82
0.58804,3.8268
0.58011,3.8343
0.57219,3.8421
0.56427,3.8502
0.55635,3.8589
0.54842,3.8676
0.5405,3.8768
0.53258,3.8863
0.52466,3.896
0.51674,3.9053
0.50881,3.9155
0.50089,3.9251
0.49297,3.9349
0.48505,3.9449
0.47712,3.9544
0.4692,3.9638
0.46128,3.973
0.45336,3.9821
0.44543,3.991
0.43751,3.9997
0.42959,4.0082
0.42167,4.0173
0.41374,4.0263
0.40582,4.0357
0.3979,4.0454
0.38998,4.0559
0.38205,4.067
0.37413,4.0783
0.36621,4.0897
0.35829,4.1016
0.35037,4.1135
0.34244,4.125
0.33452,4.136
0.3266,4.1466
0.31868,4.1561
0.31075,4.1643
0.30283,4.1709
0.29491,4.1761
0.28699,4.1807
0.27906,4.1856
0.27114,4.1917
0.26322,4.1994
0.2553,4.2091
0.24737,4.2217
0.23945,4.2375
0.23153,4.2557
0.22361,4.2768
0.21568,4.3001
